,ligand_name,sequence_id,label
0,1,16536,0
1,1,1298,1
2,1,13661,0
3,1,18095,0
4,1,2781,1
5,1,21763,0
6,1,12017,1
7,1,25714,0
8,1,7924,1
9,1,10076,1
10,1,6049,1
11,1,26326,0
12,1,14476,0
13,1,26805,0
14,1,24377,0
15,1,25968,0
17,1,25707,0
18,1,17676,0
19,1,15236,0
20,1,5163,1
21,1,15322,0
22,1,10322,1
23,1,23178,0
24,1,20647,0
25,1,26417,0
26,1,1443,1
27,1,17835,0
28,1,19148,0
29,1,15521,0
30,1,9263,1
31,1,13405,1
32,1,11762,1
33,1,14928,0
34,1,20274,0
35,1,1472,1
36,1,18295,0
37,1,22667,0
38,1,1026,1
39,1,9115,1
40,1,1174,1
41,1,21673,0
42,1,13977,0
43,1,12326,1
44,1,15501,0
45,1,8607,1
46,1,20486,0
47,1,9373,1
48,1,7882,1
49,1,21634,0
50,1,6332,1
51,1,1197,1
52,1,15142,0
53,1,16038,0
54,1,4577,1
55,1,26425,0
56,1,9683,1
57,1,5814,1
58,1,16849,0
59,1,554,1
60,1,25135,0
61,1,21590,0
62,1,15334,0
63,1,11617,1
64,1,26338,0
65,1,13442,1
66,1,1206,1
67,1,15817,0
68,1,12660,1
69,1,12385,1
70,1,26774,0
71,1,3848,1
72,1,8344,1
73,1,3740,1
74,1,13835,0
75,1,4182,1
76,1,16084,0
77,1,9366,1
78,1,19279,0
79,1,25188,0
80,1,15498,0
81,1,7071,1
82,1,23702,0
83,1,24621,0
84,1,12793,1
85,1,23976,0
86,1,23214,0
87,1,1572,1
88,1,4219,1
89,1,25703,0
90,1,23451,0
91,1,411,1
92,1,820,1
94,1,5090,1
95,1,621,1
96,1,744,1
97,1,3080,1
98,1,25485,0
99,1,7828,1
100,1,3288,1
101,1,6202,1
102,1,10987,1
103,1,25398,0
104,1,2165,1
105,1,20372,0
106,1,11165,1
107,1,1584,1
108,1,14091,0
109,1,15983,0
110,1,27186,0
111,1,3138,1
112,1,15467,0
113,1,15364,0
114,1,14525,0
115,1,10666,1
116,1,18828,0
117,1,12967,1
118,1,1287,1
119,1,14727,0
120,1,9093,1
121,1,12027,1
122,1,5099,1
123,1,14874,0
124,1,20968,0
125,1,21671,0
126,1,20506,0
127,1,13049,1
128,1,12965,1
129,1,7030,1
130,1,16942,0
131,1,2238,1
132,1,4201,1
133,1,3847,1
134,1,13011,1
135,1,10880,1
136,1,3702,1
137,1,13911,0
138,1,2571,1
139,1,19026,0
140,1,19357,0
141,1,1338,1
142,1,24061,0
143,1,8300,1
144,1,5671,1
145,1,26394,0
146,1,17287,0
147,1,12376,1
148,1,22027,0
149,1,22006,0
150,1,13115,1
151,1,4772,1
152,1,20155,0
153,1,1807,1
154,1,16356,0
155,1,8069,1
156,1,24238,0
157,1,6128,1
158,1,23504,0
159,1,23858,0
160,1,11216,1
161,1,13185,1
162,1,22298,0
163,1,12368,1
164,1,13227,1
165,1,23645,0
166,1,15227,0
167,1,5116,1
168,1,344,1
169,1,456,1
170,1,6863,1
171,1,23182,0
172,1,3494,1
173,1,18111,0
174,1,12649,1
175,1,14652,0
176,1,17246,0
177,1,11342,1
178,1,22741,0
179,1,26550,0
180,1,12542,1
181,1,1704,1
183,1,23937,0
184,1,18464,0
186,1,11764,1
187,1,6919,1
188,1,4152,1
189,1,9826,1
190,1,7841,1
191,1,12927,1
192,1,1274,1
193,1,720,1
194,1,18699,0
195,1,12343,1
196,1,16229,0
197,1,22061,0
198,1,25635,0
199,1,24524,0
200,1,9300,1
201,1,22554,0
202,1,15090,0
203,1,24753,0
204,1,5195,1
205,1,10127,1
206,1,2273,1
207,1,3699,1
208,1,25529,0
209,1,20851,0
210,1,21278,0
211,1,1329,1
213,1,10351,1
214,1,12477,1
215,1,22505,0
216,1,3448,1
217,1,1571,1
218,1,14729,0
219,1,19801,0
220,1,23824,0
221,1,3165,1
222,1,9384,1
223,1,17021,0
225,1,2074,1
226,1,18727,0
227,1,26434,0
229,1,8203,1
230,1,5963,1
231,1,4256,1
232,1,10882,1
233,1,6173,1
234,1,11776,1
235,1,3658,1
236,1,257,1
237,1,2202,1
238,1,22038,0
239,1,10462,1
240,1,21175,0
241,1,13427,1
242,1,16643,0
243,1,8935,1
244,1,16870,0
245,1,18419,0
247,1,4660,1
248,1,5584,1
249,1,20974,0
250,1,484,1
251,1,11547,1
252,1,359,1
253,1,11756,1
254,1,5998,1
255,1,12023,1
256,1,10872,1
257,1,9607,1
258,1,20632,0
259,1,7303,1
260,1,2527,1
261,1,23497,0
262,1,14538,0
263,1,5706,1
264,1,10840,1
265,1,27259,0
266,1,17681,0
267,1,2450,1
268,1,6354,1
269,1,24602,0
270,1,22775,0
271,1,25946,0
272,1,14131,0
273,1,17365,0
275,1,4834,1
276,1,3612,1
277,1,10422,1
278,1,836,1
279,1,18956,0
280,1,3566,1
281,1,14965,0
282,1,20165,0
283,1,14578,0
284,1,7877,1
285,1,5504,1
286,1,15170,0
287,1,766,1
288,1,15139,0
289,1,803,1
290,1,21892,0
291,1,334,1
292,1,21896,0
293,1,2678,1
294,1,16497,0
295,1,10879,1
296,1,5927,1
297,1,3689,1
298,1,1676,1
299,1,2549,1
300,1,1061,1
301,1,3369,1
302,1,8480,1
303,1,26600,0
304,1,14375,0
305,1,41,1
306,1,7168,1
307,1,1966,1
308,1,16274,0
309,1,3213,1
310,1,4026,1
311,1,18116,0
312,1,10436,1
313,1,23652,0
314,1,3254,1
315,1,2923,1
316,1,14544,0
317,1,24029,0
318,1,4568,1
319,1,9754,1
320,1,23864,0
321,1,741,1
322,1,23794,0
323,1,14587,0
324,1,2053,1
325,1,4936,1
326,1,6309,1
327,1,22428,0
328,1,19302,0
329,1,14488,0
330,1,15293,0
331,1,2545,1
332,1,8513,1
333,1,18462,0
334,1,101,1
335,1,14560,0
336,1,8874,1
337,1,133,1
338,1,15145,0
339,1,8517,1
340,1,222,1
341,1,1827,1
342,1,10240,1
343,1,2825,1
345,1,3483,1
346,1,16605,0
347,1,1943,1
348,1,21769,0
349,1,25236,0
351,1,26058,0
352,1,4720,1
353,1,26633,0
354,1,25450,0
355,1,16961,0
356,1,23138,0
357,1,7708,1
358,1,26597,0
360,1,16490,0
361,1,25014,0
362,1,25556,0
363,1,25048,0
